Time,Position X,Position Y,Velocity X,Velocity Y
0,0.001,0,1,-0.0098
0.001,0.002,-9.8e-06,1,-0.0196
0.002,0.003,-2.94e-05,1,-0.0294
0.003,0.004,-5.88e-05,1,-0.0392
0.004,0.005,-9.8e-05,1,-0.049
0.005,0.006,-0.000147,1,-0.0588
0.006,0.007,-0.0002058,1,-0.0686
0.007,0.008,-0.0002744,1,-0.0784
0.008,0.009,-0.0003528,1,-0.0882
0.009,0.01,-0.000441,1,-0.098
0.01,0.011,-0.000539,1,-0.1078
0.011,0.012,-0.0006468,1,-0.1176
0.012,0.013,-0.0007644,1,-0.1274
0.013,0.014,-0.0008918,1,-0.1372
0.014,0.015,-0.001029,1,-0.147
0.015,0.016,-0.001176,1,-0.1568
0.016,0.017,-0.0013328,1,-0.1666
0.017,0.018,-0.0014994,1,-0.1764
0.018,0.019,-0.0016758,1,-0.1862
0.019,0.02,-0.001862,1,-0.196
0.02,0.021,-0.002058,1,-0.2058
0.021,0.022,-0.0022638,1,-0.2156
0.022,0.023,-0.0024794,1,-0.2254
0.023,0.024,-0.0027048,1,-0.2352
0.024,0.025,-0.00294,1,-0.245
0.025,0.026,-0.003185,1,-0.2548
0.026,0.027,-0.0034398,1,-0.2646
0.027,0.028,-0.0037044,1,-0.2744
0.028,0.029,-0.0039788,1,-0.2842
0.029,0.03,-0.004263,1,-0.294
0.03,0.031,-0.004557,1,-0.3038
0.031,0.032,-0.0048608,1,-0.3136
0.032,0.033,-0.0051744,1,-0.3234
0.033,0.034,-0.0054978,1,-0.3332
0.034,0.035,-0.005831,1,-0.343
0.035,0.036,-0.006174,1,-0.3528
0.036,0.037,-0.0065268,1,-0.3626
0.037,0.038,-0.0068894,1,-0.3724
0.038,0.039,-0.0072618,1,-0.3822
0.039,0.04,-0.007644,1,-0.392
0.04,0.041,-0.008036,1,-0.4018
0.041,0.042,-0.0084378,1,-0.4116
0.042,0.043,-0.0088494,1,-0.4214
0.043,0.044,-0.0092708,1,-0.4312
0.044,0.045,-0.009702,1,-0.441
0.045,0.046,-0.010143,1,-0.4508
0.046,0.047,-0.0105938,1,-0.4606
0.047,0.048,-0.0110544,1,-0.4704
0.048,0.049,-0.0115248,1,-0.4802
0.049,0.05,-0.012005,1,-0.49
0.05,0.051,-0.012495,1,-0.4998
0.051,0.052,-0.0129948,1,-0.5096
0.052,0.053,-0.0135044,1,-0.5194
0.053,0.054,-0.0140238,1,-0.5292
0.054,0.055,-0.014553,1,-0.539
0.055,0.056,-0.015092,1,-0.5488
0.056,0.057,-0.0156408,1,-0.5586
0.057,0.058,-0.0161994,1,-0.5684
0.058,0.059,-0.0167678,1,-0.5782
0.059,0.06,-0.017346,1,-0.588
0.06,0.061,-0.017934,1,-0.5978
0.061,0.062,-0.0185318,1,-0.6076
0.062,0.063,-0.0191394,1,-0.6174
0.063,0.064,-0.0197568,1,-0.6272
0.064,0.065,-0.020384,1,-0.637
0.065,0.066,-0.021021,1,-0.6468
0.066,0.067,-0.0216678,1,-0.6566
0.067,0.068,-0.0223244,1,-0.6664
0.068,0.069,-0.0229908,1,-0.6762
0.069,0.07,-0.023667,1,-0.686
0.07,0.071,-0.024353,1,-0.6958
0.071,0.072,-0.0250488,1,-0.7056
0.072,0.073,-0.0257544,1,-0.7154
0.073,0.074,-0.0264698,1,-0.7252
0.074,0.075,-0.027195,1,-0.735
0.075,0.076,-0.02793,1,-0.7448
0.076,0.077,-0.0286748,1,-0.7546
0.077,0.078,-0.0294294,1,-0.7644
0.078,0.079,-0.0301938,1,-0.7742
0.079,0.08,-0.030968,1,-0.784
0.08,0.081,-0.031752,1,-0.7938
0.081,0.082,-0.0325458,1,-0.8036
0.082,0.083,-0.0333494,1,-0.8134
0.083,0.084,-0.0341628,1,-0.8232
0.084,0.085,-0.034986,1,-0.833
0.085,0.086,-0.035819,1,-0.8428
0.086,0.087,-0.0366618,1,-0.8526
0.087,0.088,-0.0375144,1,-0.8624
0.088,0.089,-0.0383768,1,-0.8722
0.089,0.09,-0.039249,1,-0.882
0.09,0.091,-0.040131,1,-0.8918
0.091,0.092,-0.0410228,1,-0.9016
0.092,0.093,-0.0419244,1,-0.9114
0.093,0.094,-0.0428358,1,-0.9212
0.094,0.095,-0.043757,1,-0.931
0.095,0.096,-0.044688,1,-0.9408
0.096,0.097,-0.0456288,1,-0.9506
0.097,0.098,-0.0465794,1,-0.9604
0.098,0.099,-0.0475398,1,-0.9702
0.099,0.1,-0.04851,1,-0.98
0.1,0.101,-0.04949,1,-0.9898
0.101,0.102,-0.0504798,1,-0.9996
0.102,0.103,-0.0514794,1,-1.0094
0.103,0.104,-0.0524888,1,-1.0192
0.104,0.105,-0.053508,1,-1.029
0.105,0.106,-0.054537,1,-1.0388
0.106,0.107,-0.0555758,1,-1.0486
0.107,0.108,-0.0566244,1,-1.0584
0.108,0.109,-0.0576828,1,-1.0682
0.109,0.11,-0.058751,1,-1.078
0.11,0.111,-0.059829,1,-1.0878
0.111,0.112,-0.0609168,1,-1.0976
0.112,0.113,-0.0620144,1,-1.1074
0.113,0.114,-0.0631218,1,-1.1172
0.114,0.115,-0.064239,1,-1.127
0.115,0.116,-0.065366,1,-1.1368
0.116,0.117,-0.0665028,1,-1.1466
0.117,0.118,-0.0676494,1,-1.1564
0.118,0.119,-0.0688058,1,-1.1662
0.119,0.12,-0.069972,1,-1.176
0.12,0.121,-0.071148,1,-1.1858
0.121,0.122,-0.0723338,1,-1.1956
0.122,0.123,-0.0735294,1,-1.2054
