time,x,y,angle
0,8.41667e-10,1.5e-05,-1e-05
0.01,1.34667e-08,6e-05,-4e-05
0.02,6.8175e-08,0.000135,-9e-05
0.03,2.15467e-07,0.00024,-0.00016
0.04,5.26042e-07,0.000375,-0.00025
0.05,1.0908e-06,0.00054,-0.00036
0.06,2.02084e-06,0.000735,-0.00049
0.07,3.44747e-06,0.00096,-0.00064
0.08,5.52217e-06,0.001215,-0.00081
0.09,8.41667e-06,0.0015,-0.001
0.1,1.23228e-05,0.001815,-0.00121
0.11,1.74528e-05,0.00215999,-0.00144
0.12,2.40388e-05,0.00253499,-0.00169
0.13,3.23335e-05,0.00293999,-0.00196
0.14,4.26094e-05,0.00337498,-0.00225
0.15,5.51595e-05,0.00383997,-0.00256
0.16,7.02968e-05,0.00433496,-0.00289
0.17,8.83548e-05,0.00485994,-0.00324
0.18,0.000109687,0.00541492,-0.00361
0.19,0.000134667,0.00599989,-0.004
0.2,0.000163688,0.00661486,-0.00441
0.21,0.000197165,0.00725981,-0.00484
0.22,0.000235533,0.00793475,-0.00529
0.23,0.000279244,0.00863968,-0.00576
0.24,0.000328776,0.00937459,-0.00625
0.25,0.000384621,0.0101395,-0.00676
0.26,0.000447295,0.0109343,-0.00729
0.27,0.000517334,0.0117592,-0.00784
0.28,0.000595293,0.012614,-0.00841
0.29,0.000681748,0.0134988,-0.009
0.3,0.000777294,0.0144135,-0.00961
0.31,0.000882548,0.0153582,-0.01024
0.32,0.000998146,0.0163328,-0.01089
0.33,0.00112474,0.0173374,-0.01156
0.34,0.00126302,0.0183719,-0.01225
0.35,0.00141367,0.0194363,-0.01296
0.36,0.00157741,0.0205307,-0.01369
0.37,0.00175498,0.0216549,-0.01444
0.38,0.00194713,0.0228091,-0.01521
0.39,0.00215465,0.0239931,-0.016
0.4,0.00237832,0.025207,-0.01681
0.41,0.00261898,0.0264508,-0.01764
0.42,0.00287746,0.0277244,-0.01849
0.43,0.00315461,0.0290278,-0.01936
0.44,0.00345131,0.030361,-0.02025
0.45,0.00376847,0.0317241,-0.02116
0.46,0.00410699,0.0331169,-0.02209
0.47,0.00446783,0.0345394,-0.02304
0.48,0.00485194,0.0359917,-0.02401
0.49,0.0052603,0.0374737,-0.025
0.5,0.00569391,0.0389854,-0.02601
0.51,0.00615378,0.0405267,-0.02704
0.52,0.00664097,0.0420977,-0.02809
0.53,0.00715652,0.0436983,-0.02916
0.54,0.00770152,0.0453284,-0.03025
0.55,0.00827708,0.0469881,-0.03136
0.56,0.0088843,0.0486773,-0.03249
0.57,0.00952433,0.0503959,-0.03364
0.58,0.0101983,0.052144,-0.03481
0.59,0.0109075,0.0539215,-0.036
0.6,0.011653,0.0557283,-0.03721
0.61,0.0124361,0.0575644,-0.03844
0.62,0.013258,0.0594298,-0.03969
0.63,0.01412,0.0613243,-0.04096
0.64,0.0150233,0.0632481,-0.04225
0.65,0.0159693,0.0652009,-0.04356
0.66,0.0169593,0.0671827,-0.04489
0.67,0.0179946,0.0691936,-0.04624
0.68,0.0190766,0.0712333,-0.04761
0.69,0.0202067,0.073302,-0.049
0.7,0.0213862,0.0753994,-0.05041
0.71,0.0226167,0.0775255,-0.05184
0.72,0.0238994,0.0796803,-0.05329
0.73,0.025236,0.0818636,-0.05476
0.74,0.0266279,0.0840754,-0.05625
0.75,0.0280765,0.0863157,-0.05776
0.76,0.0295834,0.0885842,-0.05929
0.77,0.0311502,0.090881,-0.06084
0.78,0.0327784,0.0932058,-0.06241
0.79,0.0344696,0.0955588,-0.064
0.8,0.0362254,0.0979396,-0.06561
0.81,0.0380474,0.100348,-0.06724
