time,x,y,angle
0,0,1e-05,0
0.01,0,4e-05,0
0.02,0,9e-05,0
0.03,0,0.00016,0
0.04,0,0.00025,0
0.05,0,0.00036,0
0.06,0,0.00049,0
0.07,0,0.00064,0
0.08,0,0.00081,0
0.09,0,0.001,0
0.1,0,0.00121,0
0.11,0,0.00144,0
0.12,0,0.00169,0
0.13,0,0.00196,0
0.14,0,0.00225,0
0.15,0,0.00256,0
0.16,0,0.00289,0
0.17,0,0.00324,0
0.18,0,0.00361,0
0.19,0,0.004,0
0.2,0,0.00441,0
0.21,0,0.00484,0
0.22,0,0.00529,0
0.23,0,0.00576,0
0.24,0,0.00625,0
0.25,0,0.00676,0
0.26,0,0.00729,0
0.27,0,0.00784,0
0.28,0,0.00841,0
0.29,0,0.009,0
0.3,0,0.00961,0
0.31,0,0.01024,0
0.32,0,0.01089,0
0.33,0,0.01156,0
0.34,0,0.01225,0
0.35,0,0.01296,0
0.36,0,0.01369,0
0.37,0,0.01444,0
0.38,0,0.01521,0
0.39,0,0.016,0
0.4,0,0.01681,0
0.41,0,0.01764,0
0.42,0,0.01849,0
0.43,0,0.01936,0
0.44,0,0.02025,0
0.45,0,0.02116,0
0.46,0,0.02209,0
0.47,0,0.02304,0
0.48,0,0.02401,0
0.49,0,0.025,0
0.5,0,0.02601,0
0.51,0,0.02704,0
0.52,0,0.02809,0
0.53,0,0.02916,0
0.54,0,0.03025,0
0.55,0,0.03136,0
0.56,0,0.03249,0
0.57,0,0.03364,0
0.58,0,0.03481,0
0.59,0,0.036,0
0.6,0,0.03721,0
0.61,0,0.03844,0
0.62,0,0.03969,0
0.63,0,0.04096,0
0.64,0,0.04225,0
0.65,0,0.04356,0
0.66,0,0.04489,0
0.67,0,0.04624,0
0.68,0,0.04761,0
0.69,0,0.049,0
0.7,0,0.05041,0
0.71,0,0.05184,0
0.72,0,0.05329,0
0.73,0,0.05476,0
0.74,0,0.05625,0
0.75,0,0.05776,0
0.76,0,0.05929,0
0.77,0,0.06084,0
0.78,0,0.06241,0
0.79,0,0.064,0
0.8,0,0.06561,0
0.81,0,0.06724,0
0.82,0,0.06889,0
0.83,0,0.07056,0
0.84,0,0.07225,0
0.85,0,0.07396,0
0.86,0,0.07569,0
